AVGO,AVGO_1_day_ago,AVGO_2_day_ago,AVGO_3_day_ago,AVGO_4_day_ago,AVGO_5_day_ago,AVGO_vol_1_day_ago,AVGO_vol_2_day_ago,AVGO_vol_3_day_ago,AVGO_vol_4_day_ago,AVGO_vol_5_day_ago,NVDA_1_day_ago,NVDA_2_day_ago,NVDA_3_day_ago,NVDA_4_day_ago,NVDA_5_day_ago,NVDA_vol_1_day_ago,NVDA_vol_2_day_ago,NVDA_vol_3_day_ago,NVDA_vol_4_day_ago,NVDA_vol_5_day_ago,AAPL_1_day_ago,AAPL_2_day_ago,AAPL_3_day_ago,AAPL_4_day_ago,AAPL_5_day_ago,AAPL_vol_1_day_ago,AAPL_vol_2_day_ago,AAPL_vol_3_day_ago,AAPL_vol_4_day_ago,AAPL_vol_5_day_ago,MSFT_1_day_ago,MSFT_2_day_ago,MSFT_3_day_ago,MSFT_4_day_ago,MSFT_5_day_ago,MSFT_vol_1_day_ago,MSFT_vol_2_day_ago,MSFT_vol_3_day_ago,MSFT_vol_4_day_ago,MSFT_vol_5_day_ago,LLY_1_day_ago,LLY_2_day_ago,LLY_3_day_ago,LLY_4_day_ago,LLY_5_day_ago,LLY_vol_1_day_ago,LLY_vol_2_day_ago,LLY_vol_3_day_ago,LLY_vol_4_day_ago,LLY_vol_5_day_ago,MRK_1_day_ago,MRK_2_day_ago,MRK_3_day_ago,MRK_4_day_ago,MRK_5_day_ago,MRK_vol_1_day_ago,MRK_vol_2_day_ago,MRK_vol_3_day_ago,MRK_vol_4_day_ago,MRK_vol_5_day_ago,PG_1_day_ago,PG_2_day_ago,PG_3_day_ago,PG_4_day_ago,PG_5_day_ago,PG_vol_1_day_ago,PG_vol_2_day_ago,PG_vol_3_day_ago,PG_vol_4_day_ago,PG_vol_5_day_ago
24.519664764404297,25.36798667907715,25.055438995361328,25.799596786499023,26.447002410888672,26.149341583251953,1896400.0,6185300.0,3326200.0,2439600.0,2531700.0,2.889814615249634,2.8367276191711426,2.8575007915496826,2.8990468978881836,2.938286542892456,37014800.0,58040800.0,71301200.0,43355200.0,73386000.0,13.831742286682129,13.686006546020508,13.771611213684082,14.113405227661133,14.118621826171875,330654800.0,447182400.0,476302400.0,435783600.0,391745200.0,22.834564208984375,22.612468719482422,22.925045013427734,23.07311248779297,22.851011276245117,31425900.0,49078500.0,44110200.0,38781400.0,49650900.0,42.43282699584961,42.23735809326172,42.448463439941406,42.36245346069336,41.901145935058594,5519000.0,5512500.0,4446300.0,3981200.0,5482800.0,29.042699813842773,28.725021362304688,28.833171844482422,28.535778045654297,27.995080947875977,16132807.0,12390504.0,17607343.0,13944793.0,16326897.0,56.10228729248047,56.138729095458984,56.16787338256836,56.38645935058594,55.77437973022461,8433200.0,10305200.0,9275400.0,11783500.0,11165600.0
24.65361213684082,24.519664764404297,25.36798667907715,25.055438995361328,25.799596786499023,26.447002410888672,3063200.0,1896400.0,6185300.0,3326200.0,2439600.0,2.8390352725982666,2.889814615249634,2.8367276191711426,2.8575007915496826,2.8990468978881836,64444400.0,37014800.0,58040800.0,71301200.0,43355200.0,13.585983276367188,13.831742286682129,13.686006546020508,13.771611213684082,14.113405227661133,372579200.0,330654800.0,447182400.0,476302400.0,435783600.0,22.513763427734375,22.834564208984375,22.612468719482422,22.925045013427734,23.07311248779297,48011800.0,31425900.0,49078500.0,44110200.0,38781400.0,42.0418701171875,42.43282699584961,42.23735809326172,42.448463439941406,42.36245346069336,6361000.0,5519000.0,5512500.0,4446300.0,3981200.0,28.738540649414062,29.042699813842773,28.725021362304688,28.833171844482422,28.535778045654297,20338850.0,16132807.0,12390504.0,17607343.0,13944793.0,55.32258224487305,56.10228729248047,56.138729095458984,56.16787338256836,56.38645935058594,9970400.0,8433200.0,10305200.0,9275400.0,11783500.0
25.07032012939453,24.65361213684082,24.519664764404297,25.36798667907715,25.055438995361328,25.799596786499023,3455600.0,3063200.0,1896400.0,6185300.0,3326200.0,2.872708797454834,2.8390352725982666,2.889814615249634,2.8367276191711426,2.8575007915496826,48750400.0,64444400.0,37014800.0,58040800.0,71301200.0,13.775291442871094,13.585983276367188,13.831742286682129,13.686006546020508,13.771611213684082,501499600.0,372579200.0,330654800.0,447182400.0,476302400.0,22.513763427734375,22.513763427734375,22.834564208984375,22.612468719482422,22.925045013427734,49923300.0,48011800.0,31425900.0,49078500.0,44110200.0,42.55792236328125,42.0418701171875,42.43282699584961,42.23735809326172,42.448463439941406,4772100.0,6361000.0,5519000.0,5512500.0,4446300.0,28.670961380004883,28.738540649414062,29.042699813842773,28.725021362304688,28.833171844482422,14570449.0,20338850.0,16132807.0,12390504.0,17607343.0,55.43915939331055,55.32258224487305,56.10228729248047,56.138729095458984,56.16787338256836,8378900.0,9970400.0,8433200.0,10305200.0,9275400.0
25.4647274017334,25.07032012939453,24.65361213684082,24.519664764404297,25.36798667907715,25.055438995361328,3597100.0,3455600.0,3063200.0,1896400.0,6185300.0,2.9261221885681152,2.872708797454834,2.8390352725982666,2.889814615249634,2.8367276191711426,47698000.0,48750400.0,64444400.0,37014800.0,58040800.0,13.640289306640625,13.775291442871094,13.585983276367188,13.831742286682129,13.686006546020508,587350400.0,501499600.0,372579200.0,330654800.0,447182400.0,22.87569808959961,22.513763427734375,22.513763427734375,22.834564208984375,22.612468719482422,36394700.0,49923300.0,48011800.0,31425900.0,49078500.0,42.84722137451172,42.55792236328125,42.0418701171875,42.43282699584961,42.23735809326172,3972000.0,4772100.0,6361000.0,5519000.0,5512500.0,29.042699813842773,28.670961380004883,28.738540649414062,29.042699813842773,28.725021362304688,13537121.0,14570449.0,20338850.0,16132807.0,12390504.0,55.92739486694336,55.43915939331055,55.32258224487305,56.10228729248047,56.138729095458984,7567800.0,8378900.0,9970400.0,8433200.0,10305200.0
25.077774047851562,25.4647274017334,25.07032012939453,24.65361213684082,24.519664764404297,25.36798667907715,3478600.0,3597100.0,3455600.0,3063200.0,1896400.0,2.940056085586548,2.9261221885681152,2.872708797454834,2.8390352725982666,2.889814615249634,59139200.0,47698000.0,48750400.0,64444400.0,37014800.0,13.543027877807617,13.640289306640625,13.775291442871094,13.585983276367188,13.831742286682129,322515200.0,587350400.0,501499600.0,372579200.0,330654800.0,22.86746597290039,22.87569808959961,22.513763427734375,22.513763427734375,22.834564208984375,35840200.0,36394700.0,49923300.0,48011800.0,31425900.0,42.73776626586914,42.84722137451172,42.55792236328125,42.0418701171875,42.43282699584961,5877500.0,3972000.0,4772100.0,6361000.0,5519000.0,28.880489349365234,29.042699813842773,28.670961380004883,28.738540649414062,29.042699813842773,14893442.0,13537121.0,14570449.0,20338850.0,16132807.0,55.51203918457031,55.92739486694336,55.43915939331055,55.32258224487305,56.10228729248047,10466900.0,7567800.0,8378900.0,9970400.0,8433200.0
24.95870590209961,25.077774047851562,25.4647274017334,25.07032012939453,24.65361213684082,24.519664764404297,3150000.0,3478600.0,3597100.0,3455600.0,3063200.0,2.951667547225952,2.940056085586548,2.9261221885681152,2.872708797454834,2.8390352725982666,38939600.0,59139200.0,47698000.0,48750400.0,64444400.0,13.207673072814941,13.543027877807617,13.640289306640625,13.775291442871094,13.585983276367188,552448400.0,322515200.0,587350400.0,501499600.0,372579200.0,22.9908504486084,22.86746597290039,22.87569808959961,22.513763427734375,22.513763427734375,34849700.0,35840200.0,36394700.0,49923300.0,48011800.0,42.83158493041992,42.73776626586914,42.84722137451172,42.55792236328125,42.0418701171875,4592600.0,5877500.0,3972000.0,4772100.0,6361000.0,28.812894821166992,28.880489349365234,29.042699813842773,28.670961380004883,28.738540649414062,15527482.0,14893442.0,13537121.0,14570449.0,20338850.0,55.737945556640625,55.51203918457031,55.92739486694336,55.43915939331055,55.32258224487305,9599700.0,10466900.0,7567800.0,8378900.0,9970400.0
25.54657745361328,24.95870590209961,25.077774047851562,25.4647274017334,25.07032012939453,24.65361213684082,1700500.0,3150000.0,3478600.0,3597100.0,3455600.0,2.940056085586548,2.951667547225952,2.940056085586548,2.9261221885681152,2.872708797454834,35368000.0,38939600.0,59139200.0,47698000.0,48750400.0,12.887965202331543,13.207673072814941,13.543027877807617,13.640289306640625,13.775291442871094,582755600.0,552448400.0,322515200.0,587350400.0,501499600.0,23.155372619628906,22.9908504486084,22.86746597290039,22.87569808959961,22.513763427734375,38157500.0,34849700.0,35840200.0,36394700.0,49923300.0,42.81594467163086,42.83158493041992,42.73776626586914,42.84722137451172,42.55792236328125,4424200.0,4592600.0,5877500.0,3972000.0,4772100.0,29.292776107788086,28.812894821166992,28.880489349365234,29.042699813842773,28.670961380004883,14839890.0,15527482.0,14893442.0,13537121.0,14570449.0,55.87638473510742,55.737945556640625,55.51203918457031,55.92739486694336,55.43915939331055,7631000.0,9599700.0,10466900.0,7567800.0,8378900.0
25.829360961914062,25.54657745361328,24.95870590209961,25.077774047851562,25.4647274017334,25.07032012939453,3051000.0,1700500.0,3150000.0,3478600.0,3597100.0,2.972568988800049,2.940056085586548,2.951667547225952,2.940056085586548,2.9261221885681152,36616800.0,35368000.0,38939600.0,59139200.0,47698000.0,13.228231430053711,12.887965202331543,13.207673072814941,13.543027877807617,13.640289306640625,638433600.0,582755600.0,552448400.0,322515200.0,587350400.0,23.319881439208984,23.155372619628906,22.9908504486084,22.86746597290039,22.87569808959961,41432200.0,38157500.0,34849700.0,35840200.0,36394700.0,43.42581558227539,42.81594467163086,42.83158493041992,42.73776626586914,42.84722137451172,4866800.0,4424200.0,4592600.0,5877500.0,3972000.0,29.231943130493164,29.292776107788086,28.812894821166992,28.880489349365234,29.042699813842773,15843769.0,14839890.0,15527482.0,14893442.0,13537121.0,56.145999908447266,55.87638473510742,55.737945556640625,55.51203918457031,55.92739486694336,9716200.0,7631000.0,9599700.0,10466900.0,7567800.0
26.022836685180664,25.829360961914062,25.54657745361328,24.95870590209961,25.077774047851562,25.4647274017334,2461000.0,3051000.0,1700500.0,3150000.0,3478600.0,2.9702465534210205,2.972568988800049,2.940056085586548,2.951667547225952,2.940056085586548,34292800.0,36616800.0,35368000.0,38939600.0,59139200.0,13.06009578704834,13.228231430053711,12.887965202331543,13.207673072814941,13.543027877807617,460250000.0,638433600.0,582755600.0,552448400.0,322515200.0,23.10601234436035,23.319881439208984,23.155372619628906,22.9908504486084,22.86746597290039,51448500.0,41432200.0,38157500.0,34849700.0,35840200.0,43.066165924072266,43.42581558227539,42.81594467163086,42.83158493041992,42.73776626586914,6787700.0,4866800.0,4424200.0,4592600.0,5877500.0,29.5225772857666,29.231943130493164,29.292776107788086,28.812894821166992,28.880489349365234,19301121.0,15843769.0,14839890.0,15527482.0,14893442.0,56.255313873291016,56.145999908447266,55.87638473510742,55.737945556640625,55.51203918457031,7194700.0,9716200.0,7631000.0,9599700.0,10466900.0
26.246084213256836,26.022836685180664,25.829360961914062,25.54657745361328,24.95870590209961,25.077774047851562,3073800.0,2461000.0,3051000.0,1700500.0,3150000.0,2.9632790088653564,2.9702465534210205,2.972568988800049,2.940056085586548,2.951667547225952,31482400.0,34292800.0,36616800.0,35368000.0,38939600.0,13.21104907989502,13.06009578704834,13.228231430053711,12.887965202331543,13.207673072814941,468473600.0,460250000.0,638433600.0,582755600.0,552448400.0,23.14714241027832,23.10601234436035,23.319881439208984,23.155372619628906,22.9908504486084,29196700.0,51448500.0,41432200.0,38157500.0,34849700.0,43.277252197265625,43.066165924072266,43.42581558227539,42.81594467163086,42.83158493041992,3602300.0,6787700.0,4866800.0,4424200.0,4592600.0,29.245466232299805,29.5225772857666,29.231943130493164,29.292776107788086,28.812894821166992,14392813.0,19301121.0,15843769.0,14839890.0,15527482.0,56.03668212890625,56.255313873291016,56.145999908447266,55.87638473510742,55.737945556640625,7111400.0,7194700.0,9716200.0,7631000.0,9599700.0
